Safra,Cidade,Mes,Mes_Num,Ano_Calendario,Fase_Fenologica,Data_Liquidacao,Dias_Uteis_Vencimento,Taxa_Juros_Usada_pct,Chuva_Media_Hist_mm,N_Anos_Historico,Strike_Pct,Strike_mm,Prob_Acionamento_Hist,Prob_Acionamento_MC,Premio_HBA_RS,Premio_MC_RS,Premio_Medio_RS,Payoff_Max_RS,VaR95_Vendedor_RS,Payoff_P99_RS
2026/2027,Lucas do Rio Verde,Dezembro,12,2026,Veg/Início Reprodutivo,2027-01-06,103,13.5653,259.6,36,30%,77.9,0.0,0.003,0.0,5.65,2.83,9000.0,0.0,0.0
2026/2027,Lucas do Rio Verde,Dezembro,12,2026,Veg/Início Reprodutivo,2027-01-06,103,13.5653,259.6,36,40%,103.8,0.0,0.015,0.0,37.79,18.89,9000.0,0.0,1045.02
2026/2027,Lucas do Rio Verde,Dezembro,12,2026,Veg/Início Reprodutivo,2027-01-06,103,13.5653,259.6,36,50%,129.8,0.083,0.045,95.79,157.34,126.56,9000.0,0.0,4762.51
2026/2027,Lucas do Rio Verde,Dezembro,12,2026,Veg/Início Reprodutivo,2027-01-06,103,13.5653,259.6,36,60%,155.7,0.167,0.109,634.63,492.58,563.61,9000.0,3836.07,8933.08
2026/2027,Lucas do Rio Verde,Dezembro,12,2026,Veg/Início Reprodutivo,2027-01-06,103,13.5653,259.6,36,70%,181.7,0.194,0.198,1463.59,1068.65,1266.12,9000.0,7619.31,9000.0
2026/2027,Lucas do Rio Verde,Dezembro,12,2026,Veg/Início Reprodutivo,2027-01-06,103,13.5653,259.6,36,80%,207.7,0.222,0.305,1972.1,1898.66,1935.38,9000.0,9000.0,9000.0
2026/2027,Lucas do Rio Verde,Janeiro,1,2027,Reprodutivo (R) - CRÍTICO,2027-02-06,125,13.5716,280.0,35,30%,84.0,0.0,0.013,0.0,32.35,16.18,9000.0,0.0,580.22
2026/2027,Lucas do Rio Verde,Janeiro,1,2027,Reprodutivo (R) - CRÍTICO,2027-02-06,125,13.5716,280.0,35,40%,112.0,0.114,0.042,305.93,149.65,227.79,9000.0,0.0,4865.66
2026/2027,Lucas do Rio Verde,Janeiro,1,2027,Reprodutivo (R) - CRÍTICO,2027-02-06,125,13.5716,280.0,35,50%,140.0,0.114,0.094,846.64,446.37,646.51,9000.0,3480.93,9000.0
2026/2027,Lucas do Rio Verde,Janeiro,1,2027,Reprodutivo (R) - CRÍTICO,2027-02-06,125,13.5716,280.0,35,60%,168.0,0.171,0.167,1212.07,960.1,1086.09,9000.0,7739.52,9000.0
2026/2027,Lucas do Rio Verde,Janeiro,1,2027,Reprodutivo (R) - CRÍTICO,2027-02-06,125,13.5716,280.0,35,70%,196.0,0.229,0.258,1609.17,1671.79,1640.48,9000.0,9000.0,9000.0
2026/2027,Lucas do Rio Verde,Janeiro,1,2027,Reprodutivo (R) - CRÍTICO,2027-02-06,125,13.5716,280.0,35,80%,224.0,0.286,0.355,2198.76,2539.84,2369.3,9000.0,9000.0,9000.0
2026/2027,Lucas do Rio Verde,Fevereiro,2,2027,Reprodutivo (R) - CRÍTICO,2027-03-06,145,13.6081,280.9,35,30%,84.3,0.029,0.003,44.02,5.92,24.97,9000.0,0.0,0.0
2026/2027,Lucas do Rio Verde,Fevereiro,2,2027,Reprodutivo (R) - CRÍTICO,2027-03-06,145,13.6081,280.9,35,40%,112.4,0.057,0.017,201.54,46.81,124.18,9000.0,0.0,1482.15
2026/2027,Lucas do Rio Verde,Fevereiro,2,2027,Reprodutivo (R) - CRÍTICO,2027-03-06,145,13.6081,280.9,35,50%,140.5,0.057,0.051,444.25,190.92,317.58,9000.0,74.07,5644.77
2026/2027,Lucas do Rio Verde,Fevereiro,2,2027,Reprodutivo (R) - CRÍTICO,2027-03-06,145,13.6081,280.9,35,60%,168.5,0.114,0.113,650.52,533.66,592.09,9000.0,4362.74,9000.0
2026/2027,Lucas do Rio Verde,Fevereiro,2,2027,Reprodutivo (R) - CRÍTICO,2027-03-06,145,13.6081,280.9,35,70%,196.6,0.171,0.204,1017.42,1145.58,1081.5,9000.0,8451.06,9000.0
2026/2027,Lucas do Rio Verde,Fevereiro,2,2027,Reprodutivo (R) - CRÍTICO,2027-03-06,145,13.6081,280.9,35,80%,224.7,0.286,0.311,1699.52,1984.81,1842.17,9000.0,9000.0,9000.0
